day,subgroup,coating_loading_mgcm2
1,1,19.697
1,2,19.94
1,3,20.029
1,4,20.106
1,5,20.128
2,1,20.143
2,2,19.937
2,3,19.917
2,4,20.154
2,5,19.966
3,1,19.77
3,2,19.796
3,3,19.834
3,4,20.089
3,5,20.026
4,1,20.124
4,2,19.923
4,3,20.029
4,4,20.113
4,5,19.944
5,1,20.082
5,2,19.881
5,3,19.935
5,4,19.931
5,5,19.785
6,1,20.088
6,2,19.916
6,3,20.002
6,4,20.087
6,5,20.08
7,1,20.12
7,2,19.982
7,3,19.924
7,4,19.986
7,5,19.696
8,1,19.74
8,2,19.762
8,3,19.82
8,4,20.072
8,5,19.837
9,1,19.932
9,2,20.234
9,3,19.936
9,4,20.133
9,5,19.832
10,1,19.963
10,2,19.829
10,3,19.939
10,4,20.151
10,5,19.689
11,1,20.078
11,2,20.043
11,3,19.893
11,4,19.74
11,5,20.013
12,1,19.905
12,2,20.042
12,3,20.004
12,4,20.288
12,5,19.957
13,1,19.816
13,2,20.032
13,3,20.04
13,4,20.245
13,5,20.15
14,1,20.064
14,2,20.263
14,3,19.786
14,4,19.885
14,5,19.833
15,1,19.93
15,2,19.752
15,3,20.114
15,4,19.96
15,5,19.735
16,1,19.897
16,2,20.136
16,3,20.231
16,4,20.439
16,5,20.604
17,1,20.222
17,2,19.969
17,3,19.763
17,4,20.195
17,5,20.001
18,1,20.14
18,2,20.104
18,3,20.189
18,4,20.406
18,5,20.243
19,1,20.253
19,2,20.095
19,3,19.98
19,4,20.194
19,5,20.272
20,1,20.667
20,2,20.372
20,3,20.525
20,4,20.259
20,5,20.135
21,1,20.242
21,2,20.285
21,3,20.799
21,4,20.268
21,5,20.567
22,1,20.32
22,2,20.651
22,3,20.552
22,4,20.455
22,5,20.476
23,1,20.432
23,2,20.63
23,3,20.468
23,4,20.329
23,5,20.32
24,1,20.648
24,2,20.901
24,3,20.646
24,4,20.596
24,5,20.669
25,1,20.919
25,2,20.724
25,3,20.61
25,4,20.883
25,5,20.761
26,1,21.028
26,2,20.784
26,3,20.531
26,4,20.505
26,5,21.049
27,1,21.129
27,2,20.786
27,3,20.75
27,4,21.082
27,5,20.619
28,1,20.725
28,2,21.002
28,3,20.815
28,4,20.885
28,5,20.856
29,1,21.014
29,2,21.206
29,3,20.969
29,4,21.069
29,5,20.584
30,1,21.011
30,2,20.868
30,3,20.801
30,4,20.862
30,5,20.96
