day,downtime_min,availability,performance,quality,oee,coating_xbar,scrap_pct,good_cells
1,269,0.7867,0.9042,0.9186,0.6535,19.98,8.14,82340
2,207,0.8356,0.8278,0.9319,0.6446,20.023,6.81,81223
3,287,0.7725,0.8246,0.9248,0.5891,19.903,7.52,74225
4,294,0.7665,0.8156,0.9257,0.5787,20.027,7.43,72918
5,163,0.8706,0.8585,0.9273,0.693,19.923,7.27,87323
6,191,0.8482,0.8739,0.9145,0.6779,20.034,8.55,85414
7,255,0.798,0.8366,0.9212,0.615,19.942,7.88,77489
8,234,0.8147,0.8148,0.9156,0.6078,19.846,8.44,76581
9,246,0.8048,0.8153,0.9248,0.6067,20.013,7.52,76450
10,207,0.8355,0.8595,0.9299,0.6677,19.914,7.01,84136
11,284,0.7744,0.8623,0.9266,0.6187,19.953,7.34,77962
12,279,0.7789,0.8563,0.9194,0.6132,20.039,8.06,77261
13,246,0.8051,0.82,0.9181,0.6062,20.057,8.19,76376
14,292,0.768,0.847,0.9326,0.6066,19.966,6.74,76438
15,262,0.7924,0.8435,0.9244,0.6179,19.898,7.56,77849
16,201,0.8406,0.8466,0.8972,0.6385,20.262,10.28,80452
17,255,0.7976,0.8661,0.9044,0.6248,20.03,9.56,78720
18,194,0.8458,0.8467,0.8902,0.6376,20.216,10.98,80332
19,276,0.781,0.8604,0.9151,0.6149,20.159,8.49,77480
20,233,0.815,0.842,0.8878,0.6093,20.392,11.22,76770
21,226,0.8206,0.8487,0.892,0.6213,20.432,10.8,78279
22,203,0.8392,0.8589,0.8801,0.6344,20.491,11.99,79929
23,287,0.772,0.7963,0.8792,0.5405,20.436,12.08,68101
24,224,0.822,0.8304,0.8474,0.5784,20.692,15.26,72881
25,211,0.8326,0.8259,0.8521,0.586,20.78,14.79,73833
26,213,0.8307,0.8208,0.8516,0.5807,20.779,14.84,73170
27,252,0.8,0.8317,0.8527,0.5674,20.873,14.73,71488
28,244,0.8067,0.8848,0.8405,0.6,20.856,15.95,75598
29,245,0.8059,0.814,0.8356,0.5482,20.968,16.44,69067
30,244,0.806,0.869,0.8387,0.5875,20.9,16.13,74022
